ensg_id	external_gene_name	chromosome_name	description
ENSG00000063127	SLC6A16	19	solute carrier family 6 member 16 [Source:HGNC Symbol;Acc:HGNC:13622]
ENSG00000064703	DDX20	1	DEAD-box helicase 20 [Source:HGNC Symbol;Acc:HGNC:2743]
ENSG00000065328	MCM10	10	minichromosome maintenance 10 replication initiation factor [Source:HGNC Symbol;Acc:HGNC:18043]
ENSG00000066279	ASPM	1	abnormal spindle microtubule assembly [Source:HGNC Symbol;Acc:HGNC:19048]
ENSG00000066735	KIF26A	14	kinesin family member 26A [Source:HGNC Symbol;Acc:HGNC:20226]
ENSG00000066923	STAG3	7	stromal antigen 3 [Source:HGNC Symbol;Acc:HGNC:11356]
ENSG00000067182	TNFRSF1A	12	TNF receptor superfamily member 1A [Source:HGNC Symbol;Acc:HGNC:11916]
ENSG00000067596	DHX8	17	DEAH-box helicase 8 [Source:HGNC Symbol;Acc:HGNC:2749]
ENSG00000068097	HEATR6	17	HEAT repeat containing 6 [Source:HGNC Symbol;Acc:HGNC:24076]
ENSG00000068831	RASGRP2	11	RAS guanyl releasing protein 2 [Source:HGNC Symbol;Acc:HGNC:9879]
ENSG00000068976	PYGM	11	glycogen phosphorylase, muscle associated [Source:HGNC Symbol;Acc:HGNC:9726]
ENSG00000070019	GUCY2C	12	guanylate cyclase 2C [Source:HGNC Symbol;Acc:HGNC:4688]
ENSG00000070047	PHRF1	11	PHD and ring finger domains 1 [Source:HGNC Symbol;Acc:HGNC:24351]
ENSG00000070476	ZXDC	3	ZXD family zinc finger C [Source:HGNC Symbol;Acc:HGNC:28160]
ENSG00000071677	PRLH	2	prolactin releasing hormone [Source:HGNC Symbol;Acc:HGNC:17945]
ENSG00000073536	NLE1	17	notchless homolog 1 [Source:HGNC Symbol;Acc:HGNC:19889]
ENSG00000073614	KDM5A	12	lysine demethylase 5A [Source:HGNC Symbol;Acc:HGNC:9886]
ENSG00000073861	TBX21	17	T-box transcription factor 21 [Source:HGNC Symbol;Acc:HGNC:11599]
ENSG00000074047	GLI2	2	GLI family zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:4318]
ENSG00000074266	EED	11	embryonic ectoderm development [Source:HGNC Symbol;Acc:HGNC:3188]
ENSG00000074660	SCARF1	17	scavenger receptor class F member 1 [Source:HGNC Symbol;Acc:HGNC:16820]
ENSG00000075426	FOSL2	2	FOS like 2, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3798]
ENSG00000076351	SLC46A1	17	solute carrier family 46 member 1 [Source:HGNC Symbol;Acc:HGNC:30521]
ENSG00000076924	XAB2	19	XPA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:14089]
ENSG00000077235	GTF3C1	16	general transcription factor IIIC subunit 1 [Source:HGNC Symbol;Acc:HGNC:4664]
ENSG00000077327	SPAG6	10	sperm associated antigen 6 [Source:HGNC Symbol;Acc:HGNC:11215]
ENSG00000077454	LRCH4	7	leucine rich repeats and calponin homology domain containing 4 [Source:HGNC Symbol;Acc:HGNC:6691]
ENSG00000078098	FAP	2	fibroblast activation protein alpha [Source:HGNC Symbol;Acc:HGNC:3590]
ENSG00000078687	TNRC6C	17	trinucleotide repeat containing adaptor 6C [Source:HGNC Symbol;Acc:HGNC:29318]
ENSG00000079999	KEAP1	19	kelch like ECH associated protein 1 [Source:HGNC Symbol;Acc:HGNC:23177]
ENSG00000080345	RIF1	2	replication timing regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:23207]
ENSG00000080608	PUM3	9	pumilio RNA binding family member 3 [Source:HGNC Symbol;Acc:HGNC:29676]
ENSG00000082512	TRAF5	1	TNF receptor associated factor 5 [Source:HGNC Symbol;Acc:HGNC:12035]
ENSG00000082516	GEMIN5	5	gem nuclear organelle associated protein 5 [Source:HGNC Symbol;Acc:HGNC:20043]
ENSG00000084110	HAL	12	histidine ammonia-lyase [Source:HGNC Symbol;Acc:HGNC:4806]
ENSG00000084652	TXLNA	1	taxilin alpha [Source:HGNC Symbol;Acc:HGNC:30685]
ENSG00000084774	CAD	2	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase [Source:HGNC Symbol;Acc:HGNC:1424]
ENSG00000085999	RAD54L	1	RAD54 like [Source:HGNC Symbol;Acc:HGNC:9826]
ENSG00000086967	MYBPC2	19	myosin binding protein C2 [Source:HGNC Symbol;Acc:HGNC:7550]
ENSG00000087157	PGS1	17	phosphatidylglycerophosphate synthase 1 [Source:HGNC Symbol;Acc:HGNC:30029]
ENSG00000087448	KLHL42	12	kelch like family member 42 [Source:HGNC Symbol;Acc:HGNC:29252]
ENSG00000087589	CASS4	20	Cas scaffold protein family member 4 [Source:HGNC Symbol;Acc:HGNC:15878]
ENSG00000088305	DNMT3B	20	DNA methyltransferase 3 beta [Source:HGNC Symbol;Acc:HGNC:2979]
ENSG00000089692	LAG3	12	lymphocyte activating 3 [Source:HGNC Symbol;Acc:HGNC:6476]
ENSG00000089723	OTUB2	14	OTU deubiquitinase, ubiquitin aldehyde binding 2 [Source:HGNC Symbol;Acc:HGNC:20351]
ENSG00000089737	DDX24	14	DEAD-box helicase 24 [Source:HGNC Symbol;Acc:HGNC:13266]
ENSG00000090339	ICAM1	19	intercellular adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5344]
ENSG00000091137	SLC26A4	7	solute carrier family 26 member 4 [Source:HGNC Symbol;Acc:HGNC:8818]
ENSG00000091138	SLC26A3	7	solute carrier family 26 member 3 [Source:HGNC Symbol;Acc:HGNC:3018]
ENSG00000091536	MYO15A	17	myosin XVA [Source:HGNC Symbol;Acc:HGNC:7594]
ENSG00000091947	TMEM101	17	transmembrane protein 101 [Source:HGNC Symbol;Acc:HGNC:28653]
ENSG00000092295	TGM1	14	transglutaminase 1 [Source:HGNC Symbol;Acc:HGNC:11777]
ENSG00000092758	COL9A3	20	collagen type IX alpha 3 chain [Source:HGNC Symbol;Acc:HGNC:2219]
ENSG00000095002	MSH2	2	mutS homolog 2 [Source:HGNC Symbol;Acc:HGNC:7325]
ENSG00000095587	TLL2	10	tolloid like 2 [Source:HGNC Symbol;Acc:HGNC:11844]
ENSG00000095932	SMIM24	19	small integral membrane protein 24 [Source:HGNC Symbol;Acc:HGNC:37244]
ENSG00000096070	BRPF3	6	bromodomain and PHD finger containing 3 [Source:HGNC Symbol;Acc:HGNC:14256]
ENSG00000096717	SIRT1	10	sirtuin 1 [Source:HGNC Symbol;Acc:HGNC:14929]
ENSG00000097046	CDC7	1	cell division cycle 7 [Source:HGNC Symbol;Acc:HGNC:1745]
ENSG00000099338	CATSPERG	19	cation channel sperm associated auxiliary subunit gamma [Source:HGNC Symbol;Acc:HGNC:25243]
ENSG00000099617	EFNA2	19	ephrin A2 [Source:HGNC Symbol;Acc:HGNC:3222]
ENSG00000099860	GADD45B	19	growth arrest and DNA damage inducible beta [Source:HGNC Symbol;Acc:HGNC:4096]
ENSG00000099899	TRMT2A	22	tRNA methyltransferase 2 homolog A [Source:HGNC Symbol;Acc:HGNC:24974]
ENSG00000099985	OSM	22	oncostatin M [Source:HGNC Symbol;Acc:HGNC:8506]
ENSG00000100036	SLC35E4	22	solute carrier family 35 member E4 [Source:HGNC Symbol;Acc:HGNC:17058]
ENSG00000100170	SLC5A1	22	solute carrier family 5 member 1 [Source:HGNC Symbol;Acc:HGNC:11036]
ENSG00000100330	MTMR3	22	myotubularin related protein 3 [Source:HGNC Symbol;Acc:HGNC:7451]
ENSG00000100336	APOL4	22	apolipoprotein L4 [Source:HGNC Symbol;Acc:HGNC:14867]
ENSG00000100345	MYH9	22	myosin heavy chain 9 [Source:HGNC Symbol;Acc:HGNC:7579]
ENSG00000100385	IL2RB	22	interleukin 2 receptor subunit beta [Source:HGNC Symbol;Acc:HGNC:6009]
ENSG00000100426	ZBED4	22	zinc finger BED-type containing 4 [Source:HGNC Symbol;Acc:HGNC:20721]
ENSG00000100650	SRSF5	14	serine and arginine rich splicing factor 5 [Source:HGNC Symbol;Acc:HGNC:10787]
ENSG00000100918	REC8	14	REC8 meiotic recombination protein [Source:HGNC Symbol;Acc:HGNC:16879]
ENSG00000101098	RIMS4	20	regulating synaptic membrane exocytosis 4 [Source:HGNC Symbol;Acc:HGNC:16183]
ENSG00000101138	CSTF1	20	cleavage stimulation factor subunit 1 [Source:HGNC Symbol;Acc:HGNC:2483]
ENSG00000101161	PRPF6	20	pre-mRNA processing factor 6 [Source:HGNC Symbol;Acc:HGNC:15860]
ENSG00000101194	SLC17A9	20	solute carrier family 17 member 9 [Source:HGNC Symbol;Acc:HGNC:16192]
ENSG00000101199	ARFGAP1	20	ADP ribosylation factor GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:15852]
ENSG00000101222	SPEF1	20	sperm flagellar 1 [Source:HGNC Symbol;Acc:HGNC:15874]
ENSG00000101544	ADNP2	18	ADNP homeobox 2 [Source:HGNC Symbol;Acc:HGNC:23803]
ENSG00000102362	SYTL4	X	synaptotagmin like 4 [Source:HGNC Symbol;Acc:HGNC:15588]
ENSG00000102387	TAF7L	X	TATA-box binding protein associated factor 7 like [Source:HGNC Symbol;Acc:HGNC:11548]
ENSG00000102606	ARHGEF7	13	Rho guanine nucleotide exchange factor 7 [Source:HGNC Symbol;Acc:HGNC:15607]
ENSG00000103044	HAS3	16	hyaluronan synthase 3 [Source:HGNC Symbol;Acc:HGNC:4820]
ENSG00000103047	TANGO6	16	transport and golgi organization 6 homolog [Source:HGNC Symbol;Acc:HGNC:25749]
ENSG00000103222	ABCC1	16	ATP binding cassette subfamily C member 1 [Source:HGNC Symbol;Acc:HGNC:51]
ENSG00000103269	RHBDL1	16	rhomboid like 1 [Source:HGNC Symbol;Acc:HGNC:10007]
ENSG00000103550	KNOP1	16	lysine rich nucleolar protein 1 [Source:HGNC Symbol;Acc:HGNC:34404]
ENSG00000103710	RASL12	15	RAS like family 12 [Source:HGNC Symbol;Acc:HGNC:30289]
ENSG00000104142	VPS18	15	VPS18 core subunit of CORVET and HOPS complexes [Source:HGNC Symbol;Acc:HGNC:15972]
ENSG00000104884	ERCC2	19	ERCC excision repair 2, TFIIH core complex helicase subunit [Source:HGNC Symbol;Acc:HGNC:3434]
ENSG00000105146	AURKC	19	aurora kinase C [Source:HGNC Symbol;Acc:HGNC:11391]
ENSG00000105173	CCNE1	19	cyclin E1 [Source:HGNC Symbol;Acc:HGNC:1589]
ENSG00000105219	CNTD2	19	cyclin N-terminal domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25805]
ENSG00000105321	CCDC9	19	coiled-coil domain containing 9 [Source:HGNC Symbol;Acc:HGNC:24560]
ENSG00000105369	CD79A	19	CD79a molecule [Source:HGNC Symbol;Acc:HGNC:1698]
ENSG00000105371	ICAM4	19	intercellular adhesion molecule 4 (Landsteiner-Wiener blood group) [Source:HGNC Symbol;Acc:HGNC:5347]
ENSG00000105447	GRWD1	19	glutamate rich WD repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:21270]
ENSG00000105464	GRIN2D	19	glutamate ionotropic receptor NMDA type subunit 2D [Source:HGNC Symbol;Acc:HGNC:4588]
ENSG00000105507	CABP5	19	calcium binding protein 5 [Source:HGNC Symbol;Acc:HGNC:13714]
ENSG00000105523	FAM83E	19	family with sequence similarity 83 member E [Source:HGNC Symbol;Acc:HGNC:25972]
ENSG00000105613	MAST1	19	microtubule associated serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:19034]
ENSG00000105617	LENG1	19	leukocyte receptor cluster member 1 [Source:HGNC Symbol;Acc:HGNC:15502]
ENSG00000105641	SLC5A5	19	solute carrier family 5 member 5 [Source:HGNC Symbol;Acc:HGNC:11040]
ENSG00000105697	HAMP	19	hepcidin antimicrobial peptide [Source:HGNC Symbol;Acc:HGNC:15598]
ENSG00000105707	HPN	19	hepsin [Source:HGNC Symbol;Acc:HGNC:5155]
ENSG00000105771	SMG9	19	SMG9 nonsense mediated mRNA decay factor [Source:HGNC Symbol;Acc:HGNC:25763]
ENSG00000105851	PIK3CG	7	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:8978]
ENSG00000105996	HOXA2	7	homeobox A2 [Source:HGNC Symbol;Acc:HGNC:5103]
ENSG00000106003	LFNG	7	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase [Source:HGNC Symbol;Acc:HGNC:6560]
ENSG00000106034	CPED1	7	cadherin like and PC-esterase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26159]
ENSG00000106299	WASL	7	WASP like actin nucleation promoting factor [Source:HGNC Symbol;Acc:HGNC:12735]
ENSG00000106328	FSCN3	7	fascin actin-bundling protein 3 [Source:HGNC Symbol;Acc:HGNC:3961]
ENSG00000106344	RBM28	7	RNA binding motif protein 28 [Source:HGNC Symbol;Acc:HGNC:21863]
ENSG00000106384	MOGAT3	7	monoacylglycerol O-acyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:23249]
ENSG00000106819	ASPN	9	asporin [Source:HGNC Symbol;Acc:HGNC:14872]
ENSG00000107036	RIC1	9	RIC1 homolog, RAB6A GEF complex partner 1 [Source:HGNC Symbol;Acc:HGNC:17686]
ENSG00000107187	LHX3	9	LIM homeobox 3 [Source:HGNC Symbol;Acc:HGNC:6595]
ENSG00000107719	PALD1	10	phosphatase domain containing paladin 1 [Source:HGNC Symbol;Acc:HGNC:23530]
ENSG00000107951	MTPAP	10	mitochondrial poly(A) polymerase [Source:HGNC Symbol;Acc:HGNC:25532]
ENSG00000107984	DKK1	10	dickkopf WNT signaling pathway inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:2891]
ENSG00000108219	TSPAN14	10	tetraspanin 14 [Source:HGNC Symbol;Acc:HGNC:23303]
ENSG00000108423	TUBD1	17	tubulin delta 1 [Source:HGNC Symbol;Acc:HGNC:16811]
ENSG00000108469	RECQL5	17	RecQ like helicase 5 [Source:HGNC Symbol;Acc:HGNC:9950]
ENSG00000108771	DHX58	17	DExH-box helicase 58 [Source:HGNC Symbol;Acc:HGNC:29517]
ENSG00000109063	MYH3	17	myosin heavy chain 3 [Source:HGNC Symbol;Acc:HGNC:7573]
ENSG00000109066	TMEM104	17	transmembrane protein 104 [Source:HGNC Symbol;Acc:HGNC:25984]
ENSG00000109107	ALDOC	17	aldolase, fructose-bisphosphate C [Source:HGNC Symbol;Acc:HGNC:418]
ENSG00000109339	MAPK10	4	mitogen-activated protein kinase 10 [Source:HGNC Symbol;Acc:HGNC:6872]
ENSG00000109667	SLC2A9	4	solute carrier family 2 member 9 [Source:HGNC Symbol;Acc:HGNC:13446]
ENSG00000109832	DDX25	11	DEAD-box helicase 25 [Source:HGNC Symbol;Acc:HGNC:18698]
ENSG00000109846	CRYAB	11	crystallin alpha B [Source:HGNC Symbol;Acc:HGNC:2389]
ENSG00000109927	TECTA	11	tectorin alpha [Source:HGNC Symbol;Acc:HGNC:11720]
ENSG00000109943	CRTAM	11	cytotoxic and regulatory T cell molecule [Source:HGNC Symbol;Acc:HGNC:24313]
ENSG00000110046	ATG2A	11	autophagy related 2A [Source:HGNC Symbol;Acc:HGNC:29028]
ENSG00000110076	NRXN2	11	neurexin 2 [Source:HGNC Symbol;Acc:HGNC:8009]
ENSG00000110169	HPX	11	hemopexin [Source:HGNC Symbol;Acc:HGNC:5171]
ENSG00000110274	CEP164	11	centrosomal protein 164 [Source:HGNC Symbol;Acc:HGNC:29182]
ENSG00000110492	MDK	11	midkine [Source:HGNC Symbol;Acc:HGNC:6972]
ENSG00000110876	SELPLG	12	selectin P ligand [Source:HGNC Symbol;Acc:HGNC:10722]
ENSG00000111335	OAS2	12	2'-5'-oligoadenylate synthetase 2 [Source:HGNC Symbol;Acc:HGNC:8087]
ENSG00000111405	ENDOU	12	endonuclease, poly(U) specific [Source:HGNC Symbol;Acc:HGNC:14369]
ENSG00000111696	NT5DC3	12	5'-nucleotidase domain containing 3 [Source:HGNC Symbol;Acc:HGNC:30826]
ENSG00000111727	HCFC2	12	host cell factor C2 [Source:HGNC Symbol;Acc:HGNC:24972]
ENSG00000111834	RSPH4A	6	radial spoke head component 4A [Source:HGNC Symbol;Acc:HGNC:21558]
ENSG00000111877	MCM9	6	minichromosome maintenance 9 homologous recombination repair factor [Source:HGNC Symbol;Acc:HGNC:21484]
ENSG00000111886	GABRR2	6	gamma-aminobutyric acid type A receptor subunit rho2 [Source:HGNC Symbol;Acc:HGNC:4091]
ENSG00000112116	IL17F	6	interleukin 17F [Source:HGNC Symbol;Acc:HGNC:16404]
ENSG00000112246	SIM1	6	SIM bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:10882]
ENSG00000112837	TBX18	6	T-box transcription factor 18 [Source:HGNC Symbol;Acc:HGNC:11595]
ENSG00000112983	BRD8	5	bromodomain containing 8 [Source:HGNC Symbol;Acc:HGNC:19874]
ENSG00000112996	MRPS30	5	mitochondrial ribosomal protein S30 [Source:HGNC Symbol;Acc:HGNC:8769]
ENSG00000113070	HBEGF	5	heparin binding EGF like growth factor [Source:HGNC Symbol;Acc:HGNC:3059]
ENSG00000113108	APBB3	5	amyloid beta precursor protein binding family B member 3 [Source:HGNC Symbol;Acc:HGNC:20708]
ENSG00000113368	LMNB1	5	lamin B1 [Source:HGNC Symbol;Acc:HGNC:6637]
ENSG00000113369	ARRDC3	5	arrestin domain containing 3 [Source:HGNC Symbol;Acc:HGNC:29263]
ENSG00000113645	WWC1	5	WW and C2 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29435]
ENSG00000113761	ZNF346	5	zinc finger protein 346 [Source:HGNC Symbol;Acc:HGNC:16403]
ENSG00000113905	HRG	3	histidine rich glycoprotein [Source:HGNC Symbol;Acc:HGNC:5181]
ENSG00000114491	UMPS	3	uridine monophosphate synthetase [Source:HGNC Symbol;Acc:HGNC:12563]
ENSG00000114529	C3orf52	3	chromosome 3 open reading frame 52 [Source:HGNC Symbol;Acc:HGNC:26255]
ENSG00000114737	CISH	3	cytokine inducible SH2 containing protein [Source:HGNC Symbol;Acc:HGNC:1984]
ENSG00000114790	ARHGEF26	3	Rho guanine nucleotide exchange factor 26 [Source:HGNC Symbol;Acc:HGNC:24490]
ENSG00000115170	ACVR1	2	activin A receptor type 1 [Source:HGNC Symbol;Acc:HGNC:171]
ENSG00000115183	TANC1	2	tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1 [Source:HGNC Symbol;Acc:HGNC:29364]
ENSG00000115523	GNLY	2	granulysin [Source:HGNC Symbol;Acc:HGNC:4414]
ENSG00000115526	CHST10	2	carbohydrate sulfotransferase 10 [Source:HGNC Symbol;Acc:HGNC:19650]
ENSG00000115738	ID2	2	inhibitor of DNA binding 2 [Source:HGNC Symbol;Acc:HGNC:5361]
ENSG00000115956	PLEK	2	pleckstrin [Source:HGNC Symbol;Acc:HGNC:9070]
ENSG00000116062	MSH6	2	mutS homolog 6 [Source:HGNC Symbol;Acc:HGNC:7329]
ENSG00000116254	CHD5	1	chromodomain helicase DNA binding protein 5 [Source:HGNC Symbol;Acc:HGNC:16816]
ENSG00000116525	TRIM62	1	tripartite motif containing 62 [Source:HGNC Symbol;Acc:HGNC:25574]
ENSG00000116745	RPE65	1	retinoid isomerohydrolase RPE65 [Source:HGNC Symbol;Acc:HGNC:10294]
ENSG00000116748	AMPD1	1	adenosine monophosphate deaminase 1 [Source:HGNC Symbol;Acc:HGNC:468]
ENSG00000116809	ZBTB17	1	zinc finger and BTB domain containing 17 [Source:HGNC Symbol;Acc:HGNC:12936]
ENSG00000116863	ADPRS	1	ADP-ribosylserine hydrolase [Source:HGNC Symbol;Acc:HGNC:21304]
ENSG00000116991	SIPA1L2	1	signal induced proliferation associated 1 like 2 [Source:HGNC Symbol;Acc:HGNC:23800]
ENSG00000117174	ZNHIT6	1	zinc finger HIT-type containing 6 [Source:HGNC Symbol;Acc:HGNC:26089]
ENSG00000117245	KIF17	1	kinesin family member 17 [Source:HGNC Symbol;Acc:HGNC:19167]
ENSG00000117601	SERPINC1	1	serpin family C member 1 [Source:HGNC Symbol;Acc:HGNC:775]
ENSG00000117724	CENPF	1	centromere protein F [Source:HGNC Symbol;Acc:HGNC:1857]
ENSG00000118246	FASTKD2	2	FAST kinase domains 2 [Source:HGNC Symbol;Acc:HGNC:29160]
ENSG00000118369	USP35	11	ubiquitin specific peptidase 35 [Source:HGNC Symbol;Acc:HGNC:20061]
ENSG00000118482	PHF3	6	PHD finger protein 3 [Source:HGNC Symbol;Acc:HGNC:8921]
ENSG00000118503	TNFAIP3	6	TNF alpha induced protein 3 [Source:HGNC Symbol;Acc:HGNC:11896]
ENSG00000119401	TRIM32	9	tripartite motif containing 32 [Source:HGNC Symbol;Acc:HGNC:16380]
ENSG00000119574	ZBTB45	19	zinc finger and BTB domain containing 45 [Source:HGNC Symbol;Acc:HGNC:23715]
ENSG00000119599	DCAF4	14	DDB1 and CUL4 associated factor 4 [Source:HGNC Symbol;Acc:HGNC:20229]
ENSG00000119720	NRDE2	14	NRDE-2, necessary for RNA interference, domain containing [Source:HGNC Symbol;Acc:HGNC:20186]
ENSG00000119812	FAM98A	2	family with sequence similarity 98 member A [Source:HGNC Symbol;Acc:HGNC:24520]
ENSG00000119915	ELOVL3	10	ELOVL fatty acid elongase 3 [Source:HGNC Symbol;Acc:HGNC:18047]
ENSG00000119922	IFIT2	10	interferon induced protein with tetratricopeptide repeats 2 [Source:HGNC Symbol;Acc:HGNC:5409]
ENSG00000119938	PPP1R3C	10	protein phosphatase 1 regulatory subunit 3C [Source:HGNC Symbol;Acc:HGNC:9293]
ENSG00000119946	CNNM1	10	cyclin and CBS domain divalent metal cation transport mediator 1 [Source:HGNC Symbol;Acc:HGNC:102]
ENSG00000120068	HOXB8	17	homeobox B8 [Source:HGNC Symbol;Acc:HGNC:5119]
ENSG00000120094	HOXB1	17	homeobox B1 [Source:HGNC Symbol;Acc:HGNC:5111]
ENSG00000120526	NUDCD1	8	NudC domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24306]
ENSG00000120659	TNFSF11	13	TNF superfamily member 11 [Source:HGNC Symbol;Acc:HGNC:11926]
ENSG00000120738	EGR1	5	early growth response 1 [Source:HGNC Symbol;Acc:HGNC:3238]
ENSG00000121621	KIF18A	11	kinesin family member 18A [Source:HGNC Symbol;Acc:HGNC:29441]
ENSG00000121716	PILRB	7	paired immunoglobin like type 2 receptor beta [Source:HGNC Symbol;Acc:HGNC:18297]
ENSG00000121903	ZSCAN20	1	zinc finger and SCAN domain containing 20 [Source:HGNC Symbol;Acc:HGNC:13093]
ENSG00000122035	RASL11A	13	RAS like family 11 member A [Source:HGNC Symbol;Acc:HGNC:23802]
ENSG00000122678	POLM	7	DNA polymerase mu [Source:HGNC Symbol;Acc:HGNC:9185]
ENSG00000122863	CHST3	10	carbohydrate sulfotransferase 3 [Source:HGNC Symbol;Acc:HGNC:1971]
ENSG00000122877	EGR2	10	early growth response 2 [Source:HGNC Symbol;Acc:HGNC:3239]
ENSG00000122966	CIT	12	citron rho-interacting serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1985]
ENSG00000122986	HVCN1	12	hydrogen voltage gated channel 1 [Source:HGNC Symbol;Acc:HGNC:28240]
ENSG00000123358	NR4A1	12	nuclear receptor subfamily 4 group A member 1 [Source:HGNC Symbol;Acc:HGNC:7980]
ENSG00000123407	HOXC12	12	homeobox C12 [Source:HGNC Symbol;Acc:HGNC:5124]
ENSG00000123901	GPR83	11	G protein-coupled receptor 83 [Source:HGNC Symbol;Acc:HGNC:4523]
ENSG00000124019	FAM124B	2	family with sequence similarity 124 member B [Source:HGNC Symbol;Acc:HGNC:26224]
ENSG00000124092	CTCFL	20	CCCTC-binding factor like [Source:HGNC Symbol;Acc:HGNC:16234]
ENSG00000124159	MATN4	20	matrilin 4 [Source:HGNC Symbol;Acc:HGNC:6910]
